Label,LJ Include?,LJ Reason,MRM include,MRM comments,LJ Comments,Final Verdict,
quickfix,0,name of technology,1,"It is like an enhancement, a feature request. It is not a tool",this label is referring to the quickfix view in the vim command line editor,0,
code lens,1,,1,,,,
flashback,0,name of technology,0,,,,
history,1,,1,,,,
aux window,0,name of technology,0,,,,
headers,0,name of technology,Not sure,,the labelings are referring to specific headers of specific things but not necessarily one thing,1,
reporting,1,,1,,,,
user facing,1,,1,,,,
modindex,0,name of technology,0,,,,
reference,1,,1,,,,
collaborator nomination,1,,1,,,,
promise,1,,1,,,,
corruption,1,,1,,,,
randomness,1,,1,,,,
toc,0,name of technology,0,,,,
inheritance,1,,1,,,,
nightly,0,name of technology,0,,,,
out of bounds,1,,1,,,,
dispatch,0,name of technology,0,,,,
matmul,0,name of technology,0,,,,
llama,0,name of technology,0,,,,
cnn,0,name of technology,0,,,,
huggingface,0,name of technology,0,,,,
inlining,0,name of technology,0,,,,
postcss,0,name of technology,0,,,,
front matter,0,name of technology,0,,,,
retry,1,,Not sure,,spring library name,0,
media type,0,name of technology,0,,,,
conventions,0,name of technology,0,,,,
newrelic,0,name of technology,0,,,,
null pointer exception,0,name of technology,0,,,,
switch statement,0,name of technology,0,,,,
conflict resolution,1,,1,,,,
branch management,1,,1,,,,
115,0,name of technology,0,,,,
method resolution,1,,1,,,,
wheel,0,name of technology,0,,,,
transmutability,1,,1,,,,
region,1,,1,,,,
widget,0,name of technology,1,"Its a component like terminal, no?",i guess we could say that,0,
scalability,1,,1,,,,
save,1,,1,,,,
drag and drop,1,,1,,,,
stepping,1,,1,,,,
lexer,0,name of technology,0,,,,
range loop,1,,1,,,,
contract,0,name of technology,0,,,,
merge,1,,1,,,,
ppc64le,0,name of technology,0,,,,
list,0,name of technology,0,,,,
build tags,1,,1,,,,
push,1,,1,,,,
protobuf,0,name of technology,0,,,,
polyfill,0,name of technology,0,,,,
deno,0,name of technology,0,,,,
web services,0,name of technology,Not sure,why not???,,1,
canvas,0,name of technology,Not sure,why not???,,0,
neon,0,name of technology,0,,,,
anyhow,0,name of technology,0,,,,
orphan rules,0,name of technology,0,,,,
variadic functions,0,name of technology,0,,,,
libs,0,name of technology,0,,,,
variance,0,name of technology,0,,,,
meson,0,name of technology,0,,,,
take along dim,0,name of technology,0,,,,
community,1,,1,too broad,,,
constraint,1,,1,,,,
minio,0,name of technology,0,,,,
flops,1,,1,"If you include this granualiryt, you should include null pointer exception. Isnt the same?",i guess flops is a specific metric which could be considered a tool so i can remove,0,
diffusers,0,name of technology,0,,,,
estimation,1,,1,,,,
props,0,name of technology,0,,,,
params,1,,1,too broad,,,
lombok,0,name of technology,,,,,
health,0,name of technology,0,,,,
how to,0,name of technology,0,,,,
component scan,0,name of technology,Not sure,,Refers to spring-boot component scan module,0,
bulk,0,name of technology,0,,,,
dynamic,0,name of technology,0,,,,
response,1,,1,,,,
rss,0,name of technology,0,,,,
artifact,1,,1,,,,
manylinux,0,name of technology,0,,,,
general,1,,1,,,,
semver,0,name of technology,0,,,,
slow query,1,,1,,,,
counter,0,name of technology,Not sure,Why not? Thats exactly why we need a granualr list to be consistent with the IC,refers to golang/telemetry counter,0,
reusability,1,,1,,,,
account management,1,,1,,,,
inline,0,name of technology,0,,,,
distinct,0,name of technology,0,,,,
keepalive,0,name of technology,0,,,,
ergonomics,0,name of technology,Not sure,Why not???,i guess we could include,1,
content length,1,,1,,,,
unwinding,1,,1,,,,
implementation,1,,1,,,,
polonius,0,name of technology,0,,,,
cell,0,name of technology,0,,,,
non local definitions,1,,1,,,,
tab management,1,,1,,,,
a11y,0,name of technology,0,,,,
cusparse,0,name of technology,0,,,,
command line flags,1,,1,,,,
scatter reduce,0,name of technology,0,,,,
multinomial,0,name of technology,Not sure,We are not consistent,refers to torch.multinomial,0,
reduction,1,,1,,,,
forward mode ad,0,name of technology,Not sure,,refers to pytorch forward-mode AD,0,
storybook,0,name of technology,Not sure,,something in tailwindcss,0,
content management,1,,1,,,,
hugo,0,name of technology,0,,,,
colima,0,name of technology,0,,,,
record,0,name of technology,Not sure,,refers to spring-boot records,0,
podman,0,name of technology,0,,,,
lookup,0,name of technology,1,I think it is a yes,i guess it refers to different modules so we could include,1,
inplace operation,0,name of technology,1,I think it is a yes,seems to be a specific pytorch operation,1,
ghidra,0,name of technology,0,,,,
note taking,1,,1,,,,
attachment,0,name of technology,Not sure,why not?,i thought of an attachment as a tool,1,
tracking issue,1,,1,,,,
julia core,0,name of technology,0,,,,
uuids,0,name of technology,0,,,,
monorepo,0,name of technology,0,,,,
missing,1,,1,,,,
backward pass,1,,1,"If this included, then other cat like null pointer should be included",your right probably should exclude as it is a specific tool used in ml,0,
endianness,0,name of technology,0,,,,
transitive analysis,0,name of technology,Not sure,,transitive analysis errors in ziglang,,?????
summary,0,name of technology,Not sure,,does refer to different summaries so maybe we keep,1,
c,0,name of technology,0,,,,
heap use after free,0,name of technology,,,php specific,0,
feat,1,,,,,,
nan,0,name of technology,0,,,,
percentile calculations,0,name of technology,Not sure,why not?,seems to be a specific test in elasticsearch,0,
default behavior,1,,1,,,,
unhandled rejection,1,,1,,,,
pack to bp,0,name of technology,0,,,,
joplin,0,name of technology,0,,,,
case sensitivity,1,,1,,,,
post quantum cryptography,1,,1,,,,
cloudflare workers,0,name of technology,Not sure,,deno specific,0,
getitem,0,name of technology,0,,,,
idempotence,1,,0,,,,
surefire,0,name of technology,0,,,,
jacobian,0,name of technology,0,,,,
,277,,,,,,
