Project/Issue Number,Title,Body,Original Labels,Qwen Full Label List,Qwen RAG labels only k=7,Qwen RAG labeled issue reports k=19,Gemma Full Label List,Gemma RAG labels only k=6,Gemma RAG labeled issue reports k=2,Llama Full Label List,Llama labels only k=6,Llama labeled issue reports k=2,LLM assigned labels are better?,LLM assigned labels are the same or better?
spring-projects/spring-boot/44088,Upgrade to Lettuce 6.5.3.RELEASE,Upgrade to [Lettuce 6.5.3.RELEASE](<URL>,['type: task'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],[],['type: dependency-upgrade'],1,1
junegunn/fzf/4298,`--tmux` causes `**<Tab>` completion to behave strangely,"### Checklist

- [x] I have read through the manual page (`man fzf`)
- [x] I have searched through the existing issues
- [x] For bug reports, I have checked if the bug is reproducible in the latest version of fzf

### Output of `fzf --version`

0.60.3 (brew)

### OS

- [ ] Linux
- [x] macOS
- [ ] Windows
- [ ] Etc.

### Shell

- [ ] bash
- [x] zsh
- [ ] fish

### Problem / Steps to reproduce

With `--tmux` in my `FZF_DEFAULT_OPTS_FILE`, I observe the following:
* `cd **<Tab>` will list files, not directories
* Paths in prefixes will not be respected; only the current directory will be searched


Minimal reproduction, with a clean fzf environment except for an `FZF_DEFAULT_OPTS_FILE `with only `--tmux`:
```The code snippet creates a directory structure, touches files within it, changes to the sandbox directory, and then uses tab completion to explore the directory structure.```

With `--tmux`, both completions will list `file` and `dir/file-in-dir`.
Without `--tmux`, the first completion will list only `dir`. The second completion will list `dir` and `dir/file-in-dir`. This is the expected behavior.


",['bug'],['bug'],['bug'],['bug'],"['bug', 'shell']",['bug'],['bug'],"['bug', 'shell']",['bug'],"['bug', 'feature']",1,1
rust-lang/rust/138257,UWP target (e.g. x86_64-uwp-windows-msvc) is broken,"

I tried to compile x86_64-uwp-windows-msvc on nightly rust using `-Z build-std` . I used `staticlib` as target type. Then I tried to link the successfully created .lib file into my exe - outside of rust ecosystem. The linker failed with this error:

```The log indicates an unresolved external symbol error for `__imp_NtOpenFile` when referencing it in the `_ZN3std3sys3pal7windows2fs14remove_dir_all12nt_open_file17h43bb929b19188a87E` function.```

My successful cargo command which created my staticlib which is unusable in UWP is:

```This command compiles a Rust library package named `pkg_name` using Cargo for the x86_64 UWP Windows MSVC target, including only the `std` and `panic_abort` libraries, and disables default linker libraries.```

The issue is due to rust's std lib using NtOpenFile function which is not available for UWP applications. This regression was introduced in <URL>

The usage of the function is not guarded by the `#[cfg(target_vendor = ""uwp"")]` feature here: <URL>

The way I understand it, all uwp targets are unusable since the above mentioned commit around September 2024 because the rust's std library uses function not allowed for uwp applications.
","['C-bug', 'T-libs', 'O-uwp-windows-msvc']","['-Zbuild-std', '-Zno-link', 'O-uwp-windows-msvc', 'C-bug']","['O-windows', 'regression-from-stable-to-nightly', 'C-bug', 'T-compiler']","['O-windows', 'T-compiler', 'regression-from-stable-to-nightly', 'C-bug']","['T-compiler', 'T-lang', 'C-bug', 'NLL-diagnostics']","['C-bug', 'O-windows-msvc', 'regression-from-stable-to-nightly']","['A-linkage', 'O-windows', 'regression-from-stable-to-nightly', 'O-windows-msvc', 'C-bug']","['C-enhancement', 'C-tracking-issue', 'P-low', 'P-medium', 'T-lang', 'T-infra', 'NLL-sound', 'WG-const-eval', 'WG-const-eval']","['C-bug', 'T-compiler', 'regression-from-stable-to-nightly']","['regression-from-stable-to-nightly', 'T-compiler', 'C-bug']",0,1
pingcap/tidb/58658,performance regression when execute bulk DML with lite-cop-worker,"## Bug Report

Please answer these questions before submitting your issue. Thanks!

### 1. Minimal reproduce step (Required)

<img width=""1782"" alt=""Image"" src=""<URL> />





### 2. What did you expect to see? (Required)

### 3. What did you see instead (Required)

### 4. What is your TiDB version? (Required)



nightly: a6cd5e7dc9f5b9336f7dc06f13f83300aebf5810

","['sig/transaction', 'type/regression', 'severity/minor']","['type/regression', 'priority/P1', 'affects-6.0', 'affects-6.1', 'affects-6.2', 'affects-6.3', 'affects-6.4', 'affects-6.5', 'affects-6.6']","['type/bug', 'type/regression', 'severity/major', 'sig/sql-infra', 'type/performance']",[],"['component/tikv', 'type/performance', 'severity/major']","['type/regression', 'type/performance', 'severity/moderate', 'affects-7.1', 'affects-8.1', 'affects-8.5', 'sig/execution']","['type/bug', 'type/regression', 'sig/sql-infra', 'severity/major', 'affects-6.5', 'affects-7.1', 'affects-7.5', 'affects-8.1', 'report/customer']","['affects-6.5', 'component/coprocessor', 'component/lightning', 'component/store', 'component/tikv', 'component/tikv-client', 'component/tools', 'impact/perf-jitter', 'type/regression', 'type/performance']","['type/regression', 'type/performance', 'affects-7.5', 'severity/moderate', 'sig/sql-infra']","['type/bug', 'sig/transaction', 'severity/minor', 'affects-7.1', 'affects-7.5', 'affects-8.1', 'report/customer', 'affects-8.5']",1,1
spring-projects/spring-boot/44176,Upgrade to HttpClient5 5.4.2,Upgrade to HttpClient5 5.4.2.,['type: dependency-upgrade'],['type: dependency-upgrade'],"['type: dependency-upgrade', 'type: task']",['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],[],['type: dependency-upgrade'],0,1
spring-projects/spring-boot/44370,Upgrade to Testcontainers Redis Module 2.2.4,"Upgrade to Testcontainers Redis Module 2.2.4.

Supersedes #44182",['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: enhancement'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: enhancement'],['type: dependency-upgrade'],"['type: dependency-upgrade', 'type: task']","['type: enhancement', 'type: dependency-upgrade']",0,1
spring-projects/spring-boot/44551,Upgrade to Logback 1.5.17,Upgrade to Logback 1.5.17.,['type: task'],['type: dependency-upgrade'],"['type: dependency-upgrade', 'type: task']",['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],[],['type: dependency-upgrade'],1,1
astral-sh/uv/10406,Add an example with Lambda Layers to AWS Lambda docs,See: <URL>,['documentation'],"['documentation', 'enhancement']",['documentation'],['documentation'],['documentation'],['documentation'],['documentation'],"['documentation', 'enhancement']","['documentation', 'enhancement']",['documentation'],0,1
spring-projects/spring-boot/44468,Remove support for management.otlp.metrics.export.resource-attributes that has been deprecated since 3.2,"As discussed in <URL> the property has been deprecated since 3.2 when `management.opentelemetry.resource-attributes` was introduced as its replacement. It should have been removed in 3.4 but we missed it. To avoid a breaking change in a 3.4.x maintenance release, remove it in 3.5.",['type: enhancement'],"['type: enhancement', 'theme: opentelemetry']",['type: task'],"['type: enhancement', 'type: bug']","['type: bug', 'theme: opentelemetry', 'type: dependency-upgrade']",['type: task'],[],"['theme: opentelemetry', 'type: bug', 'type: blocker']",['type: task'],['type: documentation'],0,1
pytorch/pytorch/149450,Support any number of kernel arguments (fallback to heap allocation beyond N max arguments),cc @chauhang @penguinwu,['oncall: pt2'],['enhancement'],['feature'],"['oncall: pt2', 'module: user triton']","['advanced', 'feature']",[],['module: rocm'],"['module: backend', 'module: compile ux', 'module: compile-time', 'module: custom-operators', 'module: data', 'module: data parallel', 'module: distributed_tool', 'module: distributed_tool']",['module: user triton'],['module: rocm'],1,1
spring-projects/spring-boot/43873,Upgrade to release verification tests 0.0.8,Forward port of issue #43872 to 3.5.x.,['type: task'],['type: dependency-upgrade'],['type: task'],['type: dependency-upgrade'],"['type: dependency-upgrade', 'for: external-project']",['type: task'],['type: task'],"['type: dependency-upgrade', 'type: regression']",[],['type: task'],0,1
NationalSecurityAgency/ghidra/7428,`SegmentCommand.create` does not properly create a segment command with a non-zero number of sections,"**Describe the bug**
A clear and concise description of the bug.

**To Reproduce**
Use the `SegmentCommand.create` method and pass a non-zero value to the `numSections` argument. The resulting bytes have a `cmdsize` parameter that does not account for the section definitions.

**Expected behavior**
The resulting bytes have a `cmdsize` parameter that *does* account for the section definitions.

**Additional context**
As far as I know, each section definition is of a guaranteed size, so it should be trivial to multiply that size by the number of sections and add it to the total size. The sections may not be included in the returned bytes, but at least the `cmdsize` parameter will be more accurate. The function could include null bytes of the correct size, if need be. At worst, it can throw if a non-zero value is passed to the `numSections` argument.

I understand this is a new-ish method, but is quite helpful for some work that I am doing. I am, however, having to manually re-do the `cmdsize` parameter afterwards and would prefer to not have to do that.",['Feature: Loader/Mach-O'],"['Type: Bug', 'Feature: Segmented Addresses']","['Type: Bug', 'Feature: Structure Editor']",['Feature: Loader/ELF'],"['Type: Bug', 'Feature: API', 'Feature: Loader/Binary']",['Type: Bug'],['Feature: Decompiler'],"['Feature: Loader', 'Feature: Loader/ELF', 'Type: Bug']","['Type: Bug', 'Feature: Processor/68000']",['Feature: Decompiler'],1,1
rust-lang/rust/133771,ICE: `No HirId for DefId`,"

snippet:
````The code snippet defines a Rust function `foo` that declares a mutable array `s` of 10 `u8` elements, initializes it with zeros using a generic argument inference feature, and then prints the array using `dbg!`.````

Version information
````The log indicates that the Rust compiler version is 1.85.0-nightly, built on December 2, 2024, with commit hash `d49be02cf`. It was compiled for an x86_64 Linux system and uses LLVM version 19.1.4.````



Command:
`/home/matthias/.rustup/toolchains/master/bin/rustc -Zcrate-attr=feature(generic_arg_infer) --crate-type=lib`

<details><summary><strong>Program output</strong></summary>
<p>

`````The log indicates an internal compiler error during compilation. Specifically, the compiler encountered a `No HirId` error for a particular `DefId`, which led to a panic. The error occurred while trying to get the HIR ID of a constant within the `foo` module. The compiler version is 1.85.0-nightly, and the compilation was run with certain flags. The compilation process aborted due to this error.```

</p>
</details>


@rustbot label +F-generic_arg_infer ","['I-ICE', 'T-compiler', 'C-bug', 'F-generic_arg_infer']","['F-generic_arg_infer', 'I-ICE']","['I-ICE', 'T-compiler', 'A-HIR', 'C-bug']","['I-ICE', 'T-compiler', 'C-bug']","['F-generic_arg_infer', 'I-ICE']","['I-ICE', 'T-compiler', 'A-HIR']",[],"['I-ICE', 'I-compiler-nominated', 'I-compilemem', 'I-crash', 'I-heavy', 'T-compiler', 'T-core', 'T-libs-api', 'T-infra', 'T-lang', 'T-lang-docs', 'T-leadership-council', 'T-release', 'T-rust-analyzer', 'T-rustdoc', 'T-rustdoc-frontend', 'T-rustfmt', 'T-spec', 'T-style', 'T-testing-devex', 'T-triagebot', 'T-types']","['I-ICE', 'A-HIR', 'T-compiler', 'C-bug']","['I-ICE', 'A-macros', 'T-compiler', 'A-incr-comp', 'C-bug', 'F-effects']",0,1
microsoft/vscode/239401,Terminal suggest: Support $CDPATH completions,"`$CDPATH` is a special variable that allows navigating to folders via `cd` regardless of the current directory. Turns out fish completions show this in tab completion:

<URL>","['feature-request', 'insiders-released', 'terminal-suggest']",['terminal-suggest'],"['terminal-suggest', 'feature-request']","['feature-request', 'insiders-released', 'terminal-suggest']",['terminal'],"['feature-request', 'terminal-suggest']","['feature-request', 'terminal-suggest']","['terminal', 'suggest']","['feature-request', 'terminal-suggest']","['feature-request', 'terminal-suggest']",0,1
pytorch/pytorch/141891,AOTInductor runner does not ensure inputs are properly aligned as required inside kernels,"### 🐛 Describe the bug

```This code snippet imports necessary modules from PyTorch and `_inductor`, defines a simple neural network module `M` that performs a sine and cosine operation on its input, and then creates input tensors with specific properties. It compiles the model using PyTorch's `torch.compile()` and `_inductor.aoti_compile_and_package`. The script also uses `torch.profiler` to profile the execution of the compiled model with misaligned input data, expecting to observe memory copy operations in the profiling output.```

This fails with:

`````The log shows that a Python script (`n.py`) was executed in a PyTorch environment on a GPU. The script printed a tensor and then attempted to use PyTorch's profiler. The profiler encountered a `RuntimeError` indicating a ""misaligned address"" CUDA error. This error led to a segmentation fault, causing the program to crash. The log also mentions that enabling `CUDA_LAUNCH_BLOCKING=1` could provide more debug information and suggests compiling with `TORCH_USE_CUDA_DSA` to enable device-side assertions.```

There is some sensitivity to the necessary input size to trigger this (I originally tried 64 * 64 + 64 and this triggered IMA on torch.compile but not AOTInductor).

### Versions

main

cc @ptrblck @msaroufim @eqy @chauhang @penguinwu @desertfire @chenyang78","['module: crash', 'module: cuda', 'oncall: pt2', 'module: aotinductor']","['module: aotinductor', 'module: cuda', 'module: crash']",['module: aotinductor'],"['module: aotinductor', 'module: cuda', 'oncall: pt2']","['module: aotinductor', 'inference mode', 'inductor_pattern_match']","['module: aotinductor', 'module: cuda graphs']","['oncall: pt2', 'oncall: export', 'module: aotinductor']","['module: aotinductor', 'module: aotdispatch', 'module: cuda', 'module: crash', 'module: correctness (silent)', 'module: torchbind']","['module: aotinductor', 'module: inductor', 'feature']","['oncall: pt2', 'module: inductor']",0,1
ziglang/zig/23212,spirv: Memory accesses with `PhysicalStorageBuffer` must use `Aligned`,"### Zig Version

0.15.0-dev.34+8e0a4ca4b

### Steps to Reproduce and Observed Behavior

sample code:
```This Zig code snippet defines a vertex shader for GPU rendering. It imports necessary modules and structures, declares input, push constant, and output variables, and implements the main function to set the output color based on the input color from the push constant buffer.```
compile with:
```This command builds an object file from `test.zig` using the SPIR-V target for Vulkan with the specified Vulkan version and CPU features, while disabling LLVM optimizations.```

running `spirv-val test.spv` returns:
```The error message indicates that memory accesses using `PhysicalStorageBuffer` must be aligned, but an unaligned access was attempted on line 61. Specifically, the unaligned load operation is defined by `%input = OpLoad %test_Input %23 None`.```

### Expected Behavior

alignment should be specified when loading from a `PhysicalStorageBuffer` pointer. the expected behaviour is that the validator shouldn't complain about anything.","['bug', 'backend-self-hosted', 'arch-spirv']","['backend-llvm', 'bug']",['bug'],"['bug', 'os-windows', 'arch-x86', 'backend-llvm', 'regression']",['bug'],"['bug', 'frontend']","['bug', 'os-windows', 'arch-x86']","['bug', 'error message', 'compiler-rt']","['bug', 'frontend', 'regression']","['bug', 'os-windows', 'arch-x86']",0,1
